Initial conditions [N0,M0,E0,B0] = [3.000e+09,9.000e+07,9.000e+07,2.000e+11] with main parameters used to perturb with sigma = 5.00e-02: rN = 1.60e-01,rMmax = 4.14e-01,rMmin = 2.14e-02,tau = 1.88e+01,kN = 2.50e+11,kM = 7.98e+10,mu = 4.81e-01,rB = 6.50e-02, rEff0 = 2.26e+00, alpha_1 = 4.29e+00, alpha_2 = 1.35e+00 ,Gamma_E = 3.00e-12,Gamma_B = 6.00e-11, stochastic threshold = 100
time to event	progression or cure?	params
23.957429716694264	cure	[0.142607, 0.418772, 0.0196014, 19.8316, 2.38184e11, 7.63915e10, 0.480646, 0.0624136, 2.11881, 4.15977, 1.31764, 3.04223e-12, 5.61366e-11]
17.0797827193506	cure	[0.14867, 0.435705, 0.0216263, 18.0246, 2.44415e11, 8.05287e10, 0.455761, 0.0684884, 2.14986, 4.41646, 1.4337, 2.96081e-12, 5.54743e-11]
448.9219583779779	progression	[0.162055, 0.408385, 0.0221379, 20.2467, 2.66906e11, 8.73882e10, 0.447022, 0.0717919, 2.25881, 4.26811, 1.38599, 2.83939e-12, 5.98746e-11]
273.01826777416574	progression	[0.158838, 0.401905, 0.0222237, 20.5156, 2.68102e11, 7.72072e10, 0.484264, 0.0613506, 1.92386, 4.31016, 1.37838, 3.12432e-12, 5.80978e-11]
469.1681139046787	progression	[0.149645, 0.430015, 0.0200021, 20.693, 2.41405e11, 7.31438e10, 0.489369, 0.0611077, 2.27786, 4.37526, 1.28078, 2.85437e-12, 5.78369e-11]
459.28898490934796	progression	[0.146626, 0.435782, 0.0210006, 21.2504, 2.35812e11, 7.05907e10, 0.467361, 0.0655303, 2.26538, 4.56632, 1.2998, 2.87386e-12, 5.88295e-11]
477.51631972820735	progression	[0.162356, 0.393686, 0.0214282, 17.5124, 2.68633e11, 8.41996e10, 0.47077, 0.0618439, 2.27195, 4.3296, 1.31404, 2.83153e-12, 6.01172e-11]
361.32382651736543	progression	[0.167558, 0.417778, 0.0217888, 18.5628, 2.54634e11, 8.20129e10, 0.486024, 0.0702243, 2.25529, 4.027, 1.39479, 2.80488e-12, 5.74917e-11]
353.91800399262866	progression	[0.165281, 0.385612, 0.0218058, 20.4645, 2.4583e11, 8.33432e10, 0.46503, 0.0668221, 2.1326, 4.36118, 1.30073, 2.83372e-12, 6.10453e-11]
19.05225426304436	cure	[0.161811, 0.42495, 0.022646, 18.9506, 2.51539e11, 8.81719e10, 0.450005, 0.0646135, 2.12696, 4.10121, 1.26462, 2.84172e-12, 5.59795e-11]
